会子盐上会子、交子之法盖有取于唐之飞钱。	Pháp trao đổi tiền muối và tiền giao dịch của hội tử có nguồn gốc từ tiền bay thời Đường.
求平交入转朏朒定数：置平交小馀加其日夜半入转馀以乘其日损益率日法而一所得以损益其下朏朒积为定数。	Cầu bình giao nhập chuyển phất thạch định số, đặt bình giao tiểu dư gia nhật dạ bán nhập chuyển dư, để nhân nhật tổn ích suất, nhật pháp mà một sở đắc, để tổn ích hạ phất thạch tích vi định số.
求正交日辰：置平交小馀以平交入转朏朒定数朏减朒加之满与不足进退日辰即正交日辰及馀秒；与定朔日辰相距即所在月日。	Tìm kiếm ngày chính giao, đặt giao nhỏ còn lại để giao vào chuyển động của các sao, định số lượng sao, giảm sao và thêm vào sao, đầy đủ và thiếu hụt, tiến lùi theo ngày tháng, tức là ngày chính giao và giây còn lại, cách ngày tháng định sớm tức là ngày tháng của tháng hiện tại.
求经朔加时中积：各以其月经朔加时入气日及馀加其气中积及馀其日命为度其馀以日法退除为分秒即其月经朔加时中积度及分秒。	Cầu kinh tháng, thêm giờ, tích lũy theo tháng, thêm giờ vào ngày khí và phần còn lại, thêm vào khí, tích lũy và phần còn lại của ngày, lấy làm độ, phần còn lại theo ngày pháp, trừ bỏ để thành giây phút, tức là tích lũy độ tháng, thêm giờ, giây phút. Yêu cầu chính xác về thời gian giao nhau của mặt trời và mặt trăng, đặt vào kinh độ của tháng, tính toán sau thời điểm giao nhau và khoảng dư giây để phù hợp với quy luật của ngày.
求正交加时黄道月度：置平交入经朔加时后日算及约馀秒以日法通日内馀进一位如五千四百五十三而一为度不满退除为分秒以加其月经朔加时中积然后以冬至加时黄道日度加而命之即得其月正加时月离黄道宿度及分秒。	Nếu số dư là năm nghìn bốn trăm năm mươi ba và một thì không đủ để tính thành độ, phải loại bỏ để tính thành phút giây. Sau đó, cộng thêm vào thời gian giao nhau của tháng, rồi dùng thời điểm đông chí để cộng thêm vào độ của mặt trời trên hoàng đạo, và đặt tên cho nó, như vậy sẽ có được tháng chính xác cộng thêm thời gian, tháng tách rời khỏi hoàng đạo, cùng với phút giây.
如求次交者以交终度及分秒加而命之即得所求。	Nếu muốn tìm kiếm theo thứ tự, hãy cộng tổng độ và phút giây lại, rồi đặt tên cho nó, như vậy sẽ đạt được điều mong cầu.
求黄道宿积度：置正交加时黄道宿全度以正交加时月离黄道宿度及分秒减之馀为距后度及分秒以黄道宿度累加之即各得正交后黄道宿积度及分秒。	Tìm kiếm độ tích của các sao trên hoàng đạo, đặt độ chính xác theo thời gian, độ toàn phần của các sao trên hoàng đạo được cộng thêm theo thời gian. Độ của mặt trăng rời khỏi độ của các sao trên hoàng đạo cùng với phút giây được trừ đi, còn lại là khoảng cách sau cùng với độ và phút giây. Cộng dồn độ của các sao trên hoàng đạo, cuối cùng mỗi phần đều đạt được độ chính xác sau cùng của các sao trên hoàng đạo cùng với độ và phút giây.
求黄道宿积度入初末限：各置黄道宿积度及分秒满交象度及分去之在半交像已下为初限；已上者以减交象度馀为入末限。	Tìm kiếm độ tích của các sao thuộc Hoàng Đạo, vào các giới hạn đầu và cuối, mỗi giới hạn đều đặt độ tích của các sao thuộc Hoàng Đạo, cùng với độ giao của các phần giây và phút, và độ đi của chúng ở dưới nửa giao diện, được coi là giới hạn đầu, còn ở trên thì giảm độ giao diện, phần còn lại là vào giới hạn cuối.
入交积度、交象度并在交会术中。求月行九道宿度：凡月行所交冬入阴历夏入阳历月行青道。	Nhập giao tích độ giao tượng độ và trong giao hội thuật Cầu Nguyệt hành chín đạo túc độ, phàm Nguyệt hành sở giao Đông nhập âm lịch, Hạ nhập dương lịch, Nguyệt hành Thanh đạo.
冬至、夏至后青道半交在春分之宿当黄道东；立冬、立夏后青道半交在立春之宿当黄道东南：至所冲之宿亦如之。	Đông chí, Hạ chí, sau đó Đạo xanh giao nhau một nửa tại chỗ của Xuân phân, nằm ở phía Đông của Hoàng đạo. Lập Đông, Lập Hạ, sau đó Đạo xanh giao nhau một nửa tại chỗ của Lập Xuân, nằm ở phía Đông Nam của Hoàng đạo, cũng như vậy.
冬入阳历夏入阴历月行白道。	Mùa đông vào tháng dương lịch, mùa hè vào tháng âm lịch, tháng đi trên con đường trắng.
冬至、夏至后白道半交在秋分之宿当黄道西；立冬、立夏后白道半交在立秋之宿当黄道西北：至所冲之宿亦如之。	Đông chí, Hạ chí, sau đó Bạch đạo giao nhau một nửa tại chỗ của Thu phân, nằm ở phía Tây của Hoàng đạo. Lập Đông, Lập Hạ, sau đó Bạch đạo giao nhau một nửa tại chỗ của Lập Thu, nằm ở phía Tây Bắc của Hoàng đạo, cũng như vậy.
春入阳历秋入阴历月行朱道。	Mùa xuân vào dương lịch, mùa thu vào âm lịch, tháng đi theo con đường đỏ.
春分、秋分后朱道半交在夏至之宿当黄道南；立春、立秋后朱道半交在立夏之宿当黄道西南：至所冲之宿亦如之。	Sau tiết xuân phân và thu phân, đường đỏ giao nhau tại chỗ của hạ chí, nằm ở phía nam của hoàng đạo. Sau tiết lập xuân và lập thu, đường đỏ giao nhau tại chỗ của lập hạ, nằm ở phía tây nam của hoàng đạo, cũng như vậy.
春入阴历秋入阳历月行黑道。	Mùa xuân vào âm lịch, mùa thu vào dương lịch, tháng đi trên con đường tối tăm.
春分、秋分后黑道半交在冬至之宿当黄道北；立春、立秋后黑道半交在立冬之宿当黄道东北：至所冲之宿亦如之。	Sau tiết Xuân Phân và Thu Phân, đường đen giao nhau nửa chừng tại chỗ trú của Đông Chí, khi Mặt Trời ở phía Bắc; sau tiết Lập Xuân và Lập Thu, đường đen giao nhau nửa chừng tại chỗ trú của Lập Đông, khi Mặt Trời ở phía Đông Bắc, cũng như vậy.
四序离为八节至阴阳之所交皆与黄道相会故月行有九道。	Bốn mùa tách rời thành tám tiết, nơi giao nhau của âm dương đều gặp gỡ với hoàng đạo, vì vậy mà mặt trăng di chuyển theo chín con đường.
各以所入初、末限度及分减一百一度馀以所入初、末限度及分乘之半而退位为分分满百为度命为月道与黄道泛差。	Mỗi thứ đều theo giới hạn ban đầu và cuối cùng mà giảm đi một trăm độ, sau đó lấy giới hạn ban đầu và cuối cùng nhân với một nửa rồi rút lui, chia ra thành phần, đủ trăm thì gọi là độ, được gọi là tháng đạo và hoàng đạo có sự khác biệt.
凡日以赤道内为阴外为阳；月以黄道内为阴、外为阳。	Mọi ngày, bên trong đường xích đạo là âm, bên ngoài là dương; mỗi tháng, bên trong đường hoàng đạo là âm, bên ngoài là dương.
故月行正交入夏至后宿度内为同名入冬至后宿度内为异名。	Vì vậy, khi mặt trăng đi vào chính giữa, sau tiết hạ, thì các sao cùng tên sẽ xuất hiện; sau tiết đông, thì các sao khác tên sẽ xuất hiện.
其在同名者置月行与黄道泛差九因八约之为定差。	Nó đặt sự khác biệt giữa hành tinh và hoàng đạo, lấy chín làm cơ sở và tám làm quy ước để định ra sự khác biệt.
半交后、正交前以差减正交后、半交前以差加。	Nửa giao sau, chính giao trước, lấy sai để trừ; chính giao sau, nửa giao trước, lấy sai để cộng.
此加减出入六度正如黄、赤道相交同名之差。	Sự cộng trừ này ra vào sáu độ, đúng như sự giao nhau của hoàng đạo và xích đạo, khác nhau về tên gọi.
若较之渐异则随交所在迁变不常。	Nếu so sánh với sự biến đổi dần dần thì sự giao thoa nơi đây không ngừng thay đổi.
仍以正交度距秋分度数乘定差如象限而一所得为月道与赤道定差前加者为减减者为加。	Vẫn lấy độ chính giao với độ số của tiết thu phân nhân với độ chênh lệch cố định như trong tứ phân, và một khi có được thì đường đi của mặt trăng và độ chênh lệch của xích đạo, nếu thêm vào thì là giảm, nếu bớt đi thì là tăng.
其在异名者置月行与黄道泛差七因八约之为定差；半交后、正交前以差加正交后、半交前以差减。	Nó ở những tên khác đặt ra hành trình của mặt trăng và đường hoàng đạo, lấy bảy làm sai khác, tám làm quy ước, để định sai khác, nửa giao trước chính giao sau, lấy sai khác cộng với chính giao sau, nửa giao trước lấy sai khác trừ.
此加减出入六度异如黄赤道相交异名之差若较之渐同则随交所在迁变不常。	Sự cộng trừ này ra vào khác nhau sáu độ, như đường hoàng đạo và đường đỏ giao nhau, sự khác biệt về tên gọi. Nếu so sánh với sự dần dần tương đồng, thì theo nơi giao nhau mà di chuyển, biến đổi không thường xuyên.
仍以正交度距春分度数乘定差如象限而一所得为月行与赤道定差前加者为减减者为加；皆加减黄道宿积度为九道宿积度；以前宿九道积度减之为其宿九道度及分。	Vẫn lấy độ chính giao với số độ của xuân phân nhân với độ chênh định như trong tứ phân, và một khi đã có được thì hành trình của mặt trăng với độ chênh của xích đạo trước khi cộng vào là giảm, còn khi trừ đi thì là tăng. Tất cả đều cộng trừ với độ tích của chín chòm sao, độ tích của chín chòm sao trước đó trừ đi sẽ được độ của chòm sao chín và phân.
其分就近约为太、半、少。	Phân chia gần như là một nửa ít hơn.
论春、夏、秋、冬以四时日所在宿度为正。求正交加时月离九道宿度：以正交加时黄道日度及分减一百一度馀以正交度及分乘之半而退位为分分满百为度命为月道与黄道泛差。	Luận về bốn mùa xuân, hạ, thu, đông theo vị trí của mặt trời trong bốn thời điểm là chính Cầu chính giao thêm thời tháng rời chín đạo túc độ để chính giao thêm thời hoàng đạo nhật độ và phân giảm một trăm một độ dư để chính giao độ và phân nhân một nửa mà thoái vị cho phân phân đầy trăm cho độ mệnh cho tháng đạo với hoàng đạo phàm sai.
