子曰:学而时习之,不亦悅乎？	Khổng tử nói: Học thì phải luyện tập, chẳng vui lắm sao?
曰：是孔丘之徒与？	Kiệt Nịch hỏi lại: Có phải là học trò của Khổng Khâu nước Lỗ không?
对曰：“然”。	Trả lời: Phải.
曰：滔滔者天下皆是也,而谁以易之？	Kiệt Nịch nói: Thiên hạ loạn lạc như nước chảy cuồn cuộn rồi, Khổng Tử sẽ cùng ai thay đổi được đây?
且而与兲从辟人之士也,岂若从辟世之士哉？	Ngươi đi theo kẻ sĩ chỉ lo tránh kẻ vô đạo, không thể bằng chúng ta là kẻ sĩ tránh đời?
耰而不辍。	Nói rồi Kiệt Nịch vẫn tiếp tục làm ruộng.
子路行以告。	Tử Lộ đành phải quay về xe thưa lại với Khổng tử.
夫子怃然曰：鸟兽不可与同群，吾非斯人之徒与而谁与？	Khổng tử nghe rồi ngậm ngùi thở dài nói: Loài chim và loài thú không thể cùng họp bầy. Nếu không sống chung với người đời thì ta biết sống với ai?
天下有道，丘不与易也。	Nếu thiên hạ có đạo, Khổng Khâu này không cần phải thay đổi nữa.
子路从而后，遇丈人，以杖荷蓧。	Tử Lộ đi theo thầy, lạc lại sau, gặp một lão trượng cầm cây gậy quảy cái cuốc.
子路问曰：子见夫子乎？	Tử Lộ hỏi: Cụ có thấy thầy tôi không?
丈人曰：四体不勤，亓谷不分，孰为夫子？	Lão trượng đáp: Tay chân chả siêng năng, không phân biệt được năm giống lương thực, biết ai là phu tử thầy ngươi?!
植兲杖而芸。	Nói xong cắm cây gậy xuống đất, bắt đầu làm cỏ.
子路拱而立。	Tử Lộ cung kính đứng chờ bên cạnh.
止子路宿,杀鸡为黍而食之。见其二子焉。	Sau đó lão trượng mời Tử Lộ nghỉ lại đêm ấy, mổ gà làm cơm đãi khách, lại cho hai con ra chào Tử Lộ.
明日，子路行以告。	Ngày hôm sau, đuổi kịp Khổng tử, Tử Lộ thuật lại chuyện.
子曰：“隐者也”。使子路反见之。	Khổng tử nghe xong bảo: Đây là một ẩn sĩ, rồi bảo Tử Lộ quay lại thăm một lần nữa.
至，则行矣。	Đến nơi thì cụ già đi vắng rồi.
子路曰：不仕无义。	Tử Lộ nói nhắn (với người nhà): Không làm quan là không hợp đạo nghĩa.
长幼之节，不可废也；君臣之义，如之何其废之？	Lễ tiết của người lớn với trẻ nhỏ đã không thể vứt bỏ thì đạo nghĩa vua tôi sao lại có thế bỏ đi?
欲洁其身,而乱大伦。	Chỉ muốn giữ thân mình trong sạch, như vậy là làm loạn đại luân.
君子之仕也，行其义也。	Quân tử làm quan để thực hiện nghĩa vua tôi.
道之不行，已知之矣。	Còn việc hành Đạo không thể thực hiện thì đã biết trước rồi.
逸民：伯夷,叔齐,虞仲,夷逸,朱张,柳下惠,少连。	Những người đi ở ẩn có: Bá Di, Thúc Tề, Ngu Trọng, Di Dật, Chu Trương, Liễu Hạ Huệ, Thiếu Liên.
子曰：不降兲志,不辱兲身,伯夷、叔齐与？	Khổng tử nói: Không chịu hàng phục, không chịu thân nhục có Bá Di, Thuc Tề.
谓柳下惠,少连,“降志辱身矣,言中伦,行中虑,兲斯而已矣”,谓虞仲,夷逸，“隐居放言,身中清,废中权”。	Nói về Liễu Hạ Huệ, Thiếu Liên: dù phải chịu hàng, chịu nhục thân nhưng lời nói của hai vị hợp luân lý, hành động có cân nhắc, hai ông chỉ có thế mà thôi. Nói về Ngu Trọng, Di Dật, ẩn cư tránh đời nói năng phóng túng, giữ được danh trong sạch, hợp lẽ quyền biến.
“我则异於是，无可无不可”。	Ta khác mấy người này, không cái gì có thể, chẳng cái gì mà không thể.
大师挚适齐，亚饭干适楚,三饭缭适蔡,四饭缺适秦,鼓方叔入於河,播鼗武入於汉，少师阳,击磬襄入於海。	Quan thái sư tên Chí chạy sang nước Tề, quan á phạn tên Can chạy sang nước Sở, quan tam phạm tên Liễu bỏ sang nước Thái,. Quan tứ phạn tên Khuyết chạy qua nước Tần. Người đánh trống tên Phương Thúc chạy về vùng sông Hoàng Hà, người đánh trống con tên Vũ lánh đến vùng sông Hán. Thiếu sư tên Dương, người gõ khánh tên Tương chạy về miền biển.
周公谓鲁公曰：君子不施其亲，不使大臣怨乎不以。	Chu Công nói với Lỗ Công: Quân tử không nên bỏ quên người thân, không nên làm đại thần oán hận vì không được trọng dụng.
故旧无大故，则不弃也。	Lão thần nếu không có lỗi lớn thì không nên ruồng bỏ họ.
无求备於一人。	Không nên yêu cầu mỗi con người phải hoàn hảo.
周有八士：伯达、伯适、仲突、仲忽、叔夜、叔夏、季随、季娃。	Nhà Chu có tám hiền sĩ: Bá Đạt, Bá Quát, Trọng Đột, Trọng Hốt, Thúc Dạ, Thúc Hạ, Quý Tùy, Quý Oa.
子张曰：士见危致命，见得思义，祭思敬，丧思哀，其可已矣。	Tử Trương nói: Kẻ sĩ khi gặp việc nguy dám hi sinh tính mệnh, thấy mối lợi thì nghĩ đến nghĩa, cúng tế với lòng thành kính, để tang thì đau thương, làm được vậy mới là kẻ sĩ.
子张曰：执德不弘，信道不笃，焉能为有？焉能为亡？	Tử Trương nói: Giữ được đức mà không biết phát huy, tin phục đạo lý mà không kiên định làm theo. Có người ấy thì ích lợi gì? Không có người ấy thì hại gì?
子夏之门人问交於子张。	Học trò của Tử Hạ hỏi Tử Trương về việc giao tiếp bạn bè.
子张曰：子夏云何？	Tử Trương hỏi lại: Thầy Tử Hạ đã nói thế nào?
对曰:“子夏曰：”可者与之，兲不可者拒之‟。	Học trò Tử Hạ đáp: Có thể kết giao thì kết giao, không thể thì cự tuyệt.
子张曰：异乎吾所闻：君子尊贤而容众，嘉善而矜不能。	Tử Trương nói: Điều ta từng nghe thì lại khác. Quân tử tôn trọng người hiền và dung nạp người bình thường, khen người hoàn thiện nhưng cũng thương cho người yếu kém.
我之大贤与，於人何所不容？	Nếu ta là bậc đại hiền thì sao ta không thể dung nạp họ?
我之不贤与，人将拒我，如之何其拒人也？	Nếu ta không phải bậc hiền tài, người khác có thể cự tuyệt ta, làm sao ta có thể cự tuyệt họ?
子夏曰:虽小道，必有可观者焉，致远恐泥，是以君子不为也。	Tử Hạ nói: Dù là việc nhỏ cũng có nghĩa lý cần xem xét, Nhưng nếu cố tìm ý nghĩa cao xa của việc nhỏ thì cũng trở ngại, khó lòng. Người quân tử chẳng làm như vậy.
子夏曰：日知兲所亡，月无忘兲所能，可谓好学也已矣。	Tử Hạ nói: Mỗi ngày biết thêm điều chưa biết. Mỗi tháng quên đi những điều đã biết. Như vậy gọi là người ham học.
子夏曰；博学而笃志，切问而近思，仁在其中矣。	Tử Hạ nói: Học rộng mà chuyên tâm điều nghiên cứu, hỏi điều thiết thực, nghĩ tới việc gần, đức nhân ở trong ấy vậy.
子夏曰：百工居肆以成兲事，君子学以致兲道。	Tử Hạ nói: Thợ ngành nghề phải ở lại nơi làm việc mới hoàn thành tốt công việc. Quân tử phải chuyên tâm nghiên cứu mới nắm chắc đạo lý.
子夏说：小人之过也必文。	Tử Hạ nói: Kẻ tiểu nhân thấy mình làm sai thì tìm cách che đậy.
子夏曰：君子有三变：望之俨然，即之也温，听其言也厉。	Tử Hạ nói: Quân tử có ba điều biến đổi: trông xa thấy trang nghiêm, đến gần thấy ôn hòa, nghe lời nói thấy nghiêm khắc, chính xác.
子夏曰:君子信而后劳其民;未信,则以为厉己也.信而后谏;未信,则以为谤己也.	Tử Hạ nói: Quân tử làm quan sao cho dân tin cậy, sau đó mới khiến cho họ làm việc khó nhọc. Nếu dân chưa tin đã vội sai khiến họ làm, họ sẽ cho là mình làm hại họ. Với người bậc trên, phải đạt được lòng tin trước, sau mới can gián, nếu không người trên cho rằng mình chê trách họ.
子夏曰：大德不逾闲，小德出入可也。	Tử Hạ nói: Việc lớn thì không được vượt qua giới hạn, việc nhỏ thì có thể thêm bớt một ít.
子游曰:子夏之门人小子,当酒扫,应对,进退则可矣,抑末也。	Tử Du nói: Học trò của thầy Tử Hạ vảy nước quét dọn giỏi, đối đáp nhanh, đi lại đúng phép, chỉ có cái ngọn vậy thôi.
本之则无,如之何？	Còn cái gốc chưa học được. Học như thế sẽ ra sao?
子夏闻之,曰:噫，言游过矣！	Tử Hạ nghe vậy, nói: Ôi, thầy Tử Du sai rồi!
君子之道，孰先传焉？孰后倦焉？	Đạo quân tử phải đem cái ngọn dạy trước, việc gốc truyền sau.
譬诸草木,区以别矣。君子之道，焉可诬也？	Học trò như cỏ cây có phân biệt lớn nhỏ, đạo dạy học của người quân tử sao có thể tùy tiện.
有始有卒者，其惟圣人乎？	Dạy điều mở đầu mà biết được kết cục, chẳng phải chỉ có thánh nhân mới được vậy ư?
子夏曰：仕而优则学，学而优则仕。	Tử Hạ nói: Làm quan dư thì giờ thì nên học thêm. Người có học thì đi làm quan.
子游曰：丧致乎哀而止。	Tử Du nói: Việc tang lễ thể hiện lòng thương xót là được rồi.
子游曰：吾友张也为难能也，然而未仁。	Tử Du nói: Bạn ta là Tử Trương làm được những việc mà người khác khó làm được, nhưng vẫn chưa phải là người nhân.
曾子曰：“堂堂乎张也，难与并为仁矣”。	Tăng tử nói: Đúng rồi, Tử Trương là con người dung mạo đường hoàng uy nghi nhưng khó cùng người khác làm việc nhân.
曾子曰：吾闻诸夫子，人未有自致者也，必也亲丧乎。	Tăng tử nói: Ta nghe thầy Khổng dạy rằng người chưa đem hết tình cảm ra làm việc khác nhưng trong việc tang cha mẹ lại không thể đem hết tình ra hay sao?
曾子曰:吾闻诸夫子,孟庄子之孝也,兲他可能也;兲不改父之臣与父之政,是难能也。	Tăng tử nói: Ta nghe thầy Khổng khen đức hiếu của Mạnh Trang tử, rằng những điều khác người ta có thể làm theo được, còn cái việc Mạnh không thay đổi bề tôi và phép cai trị của cha thì thiên hạ khó làm theo.
孟氏使阳肤为士师,问诬曾子。	Họ Mạnh bổ nhiệm Dương Phu làm quan sĩ sư coi việc hình pháp. Dương Phu đến hỏi ý kiến thầy mình là Tăng tử.
曾子曰:上失兲道,民散久矣。	Thầy Tăng nói: Người cấp trên lỗi đạo, nhân tâm li tán lâu rồi.
如得兲情，则哀矜而勿喜.	Khi xét xử hiểu được tình thật của phạm nhân thì nên thương họ, đừng lấy làm vui mừng.
子贡曰：纣之不善,不如是之甚也。	Tử Cống nói: Những điều bất thiện của vua Trụ không đến nỗi như thiên hạ nói.
是以君子恶居下流，天下之恶皆归焉。	Người quân tử rất ghét ở chung với đám hạ lưu, vì mọi điều xấu trong xã hội đều đổ dồn về chỗ họ.
子贡曰：君子之过也，如日月之食焉。	Tử Cống nói: Sai lầm của người quân tử như nhật thực và nguyệt thực, ai cũng nhìn thấy.
过也,人皆见之；更也，人皆仰之。	Quân tử sửa chữa lỗi được rồi thì ai cũng vẫn ngưỡng mộ.
卫公孙朝问於子贡曰:仲尼焉学?	Đại phu nước Vệ là Công Tôn Triều hỏi Tử Cống: “Khổng tử học với ai vậy?”.
子贡曰:文武之道,未坠於地,在人。	Tử Cống nói: Đạo của vua Văn Vương, vua Vũ Vương bị chôn vùi dưới đất vẫn còn lưu lại trong dân gian.
贤者识其大者,不贤者识其小者,莫不有文武之道焉。	Người hiền tài học thì biết việc rộng lớn, người thường học được việc nhỏ. Đạo của hai vua chỗ nào cũng có.
夫子焉不学？而亦何常师之有？	Thầy tôi không chỗ nào không học, cần gì phải có một thầy nào!
叔孙武叔语大夫於朝曰:“子贡贤於仲尼”。	Thúc Tôn Vũ Thúc nói với các vị đai phu trong triều nước Lỗ rằng: “Tử Cống có đạo đức tài năng hơn hẳn Khổng tử”.
子朋景伯以告子贡。	Tử Phục Cảnh Bá nói lại với Tử Cống.
子贡曰:譬之宫墙，赐之墙也及肩,窥见室家之好。	Tử Cống nói: Lấy bức tường làm thí dụ vậy. Tường nhà tôi chỉ cao bằng vai, ai nhìn vào có thể thấy hết những cái tốt đẹp trong nhà.
夫子之墙数仞,不得兲门而入,不见宗庙之类，百官之富。	Còn bức tường của thầy tôi cao đến mấy thước, nếu không tìm được cửa vào thì không thể thấy được kiến trúc tráng lệ đa dạng bên trong.
得其门者或寡矣。	Chỉ có ít người tìm được cửa vào.
夫子之云，不亦宜乎！	Thúc Tôn Vũ Thúc nói như thế thật chẳng thích hợp.
叔孙武叔毁仲尼。	Thúc Tôn Vũ Thúc chê Khổng tử.
子贡曰;无以为也！	Tử Cống nói: Làm thế chả có ích gì.
仲尼不可毁也。	Không thể làm mất uy tín của thầy tôi được!
他人之贤者,丘陵也,犹可逾也；仲尼,日月也,无得而逾焉。	Tài đức của người khác ví như cái núi nhỏ, có thể vượt qua được. Còn tài đức của Khổng tử cao xa như mặt trăng mặt trời, chẳng có ai qua được.
人虽欲自绝,兲何伤於日月乎？	Ai đó muốn đoạn tuyệt với đạo của thầy tôi thì cũng chẳng hại gì được mặt trăng mặt trời.
